orchestrator  | 2025-10-13T09:16:18.377273884Z INFO:     Started server process [1]\
orchestrator  | 2025-10-13T09:16:18.377299720Z INFO:     Waiting for application startup.\
orchestrator  | 2025-10-13T09:16:18.379065470Z 2025-10-13 11:16:18,378 INFO app.services.state: Starting full cleanup: stopping all managed containers\
orchestrator  | 2025-10-13T09:16:18.402372024Z 2025-10-13 11:16:18,402 INFO app.services.state: Found 0 managed containers to stop\
orchestrator  | 2025-10-13T09:16:18.402392268Z 2025-10-13 11:16:18,402 INFO app.services.state: Stopped 0 containers during cleanup\
orchestrator  | 2025-10-13T09:16:18.402399545Z 2025-10-13 11:16:18,402 INFO app.services.state: Clearing database state\
orchestrator  | 2025-10-13T09:16:18.419788363Z 2025-10-13 11:16:18,419 INFO app.services.state: Clearing in-memory state\
orchestrator  | 2025-10-13T09:16:18.419806333Z 2025-10-13 11:16:18,419 INFO app.services.state: Clearing port allocations\
orchestrator  | 2025-10-13T09:16:18.419811272Z 2025-10-13 11:16:18,419 INFO app.services.state: Full cleanup completed\
orchestrator  | 2025-10-13T09:16:18.424164894Z 2025-10-13 11:16:18,423 INFO app.services.gluetun: Gluetun monitor started for container 'gluetun' with 3s interval\
orchestrator  | 2025-10-13T09:16:18.424179112Z 2025-10-13 11:16:18,424 INFO app.main: Waiting for Gluetun to become healthy before provisioning engines...\
orchestrator  | 2025-10-13T09:16:18.434698508Z 2025-10-13 11:16:18,434 INFO app.services.gluetun: Gluetun first became healthy at 2025-10-13 09:16:18.434453+00:00 - starting startup grace period\
orchestrator  | 2025-10-13T09:16:18.452444456Z 2025-10-13 11:16:18,452 WARNING app.services.gluetun: No port forwarding information available from Gluetun\
orchestrator  | 2025-10-13T09:16:19.425977324Z 2025-10-13 11:16:19,425 INFO app.main: Gluetun is healthy - proceeding with engine provisioning\
orchestrator  | 2025-10-13T09:16:19.449429348Z 2025-10-13 11:16:19,449 INFO app.services.autoscaler: Starting 10 AceStream containers to maintain MIN_REPLICAS=10 total containers (currently: total=0, used=0, free=0)\
orchestrator  | 2025-10-13T09:16:19.459161436Z 2025-10-13 11:16:19,458 WARNING app.services.gluetun: No port forwarding information available from Gluetun\
