orchestrator  | 2025-11-08T08:15:10.986440757Z 2025-11-08 09:15:10,986 WARNING app.services.monitor: Docker socket temporarily unavailable during sync, will retry next iteration: UnixHTTPConnectionPool(host='localhost', port=None): Read timed out. (read timeout=30)
orchestrator  | 2025-11-08T08:15:14.447179743Z 2025-11-08 09:15:14,447 WARNING app.services.gluetun: VPN container 'gluetun' is not running (status: exited)
orchestrator  | 2025-11-08T08:15:14.447894468Z 2025-11-08 09:15:14,447 WARNING app.services.gluetun: VPN 'gluetun' became unhealthy
orchestrator  | 2025-11-08T08:15:14.448059659Z 2025-11-08 09:15:14,447 WARNING app.services.state: ⚠️  ENTERING EMERGENCY MODE ⚠️
orchestrator  | 2025-11-08T08:15:14.448071415Z 2025-11-08 09:15:14,447 WARNING app.services.state: Failed VPN: gluetun
orchestrator  | 2025-11-08T08:15:14.448141302Z 2025-11-08 09:15:14,448 WARNING app.services.state: Healthy VPN: gluetun_2
orchestrator  | 2025-11-08T08:15:14.448225202Z 2025-11-08 09:15:14,448 WARNING app.services.state: System will operate with reduced capacity on single VPN until recovery
orchestrator  | 2025-11-08T08:15:14.448331445Z 2025-11-08 09:15:14,448 WARNING app.services.state: Removing 5 engines from failed VPN 'gluetun'
orchestrator  | 2025-11-08T08:15:14.609988805Z 2025-11-08 09:15:14,609 INFO app.services.state: Stopped engine 23bf6f6e347a from failed VPN
orchestrator  | 2025-11-08T08:15:14.725210072Z 2025-11-08 09:15:14,724 INFO app.services.state: Stopped engine 51306458be91 from failed VPN
orchestrator  | 2025-11-08T08:15:14.840704170Z 2025-11-08 09:15:14,840 INFO app.services.state: Stopped engine 837266b9ea54 from failed VPN
orchestrator  | 2025-11-08T08:15:14.956523917Z 2025-11-08 09:15:14,956 INFO app.services.state: Stopped engine bcfe25074d62 from failed VPN
orchestrator  | 2025-11-08T08:15:15.098545952Z 2025-11-08 09:15:15,098 INFO app.services.state: Stopped engine 5fc9a1a4055b from failed VPN
orchestrator  | 2025-11-08T08:15:15.098564782Z 2025-11-08 09:15:15,098 WARNING app.services.state: Emergency mode active: operating with 5 engines on 'gluetun_2'
orchestrator  | 2025-11-08T08:15:15.098569726Z 2025-11-08 09:15:15,098 INFO app.services.gluetun: Emergency mode activated - system operating on single VPN 'gluetun_2'
orchestrator  | 2025-11-08T08:15:15.275412057Z 2025-11-08 09:15:15,275 INFO app.services.monitor: Docker state change detected: +0, -5 containers
orchestrator  | 2025-11-08T08:15:15.379065230Z 2025-11-08 09:15:15,378 INFO app.main: Engine 23bf6f6e347a is in grace period, deferring shutdown
orchestrator  | 2025-11-08T08:16:13.657747447Z 2025-11-08 09:16:13,657 WARNING app.services.gluetun: Force restarting VPN container 'gluetun' after 60s timeout
orchestrator  | 2025-11-08T08:16:27.423426501Z 2025-11-08 09:16:27,423 INFO app.services.gluetun: VPN container 'gluetun' restart initiated
orchestrator  | 2025-11-08T08:16:30.728547640Z 2025-11-08 09:16:30,728 INFO app.services.gluetun: VPN 'gluetun' recovered and is now healthy
orchestrator  | 2025-11-08T08:16:30.728569689Z 2025-11-08 09:16:30,728 INFO app.services.state: ✅ EXITING EMERGENCY MODE ✅
orchestrator  | 2025-11-08T08:16:30.728645405Z 2025-11-08 09:16:30,728 INFO app.services.state: VPN 'gluetun' has recovered after 76.3s
orchestrator  | 2025-11-08T08:16:30.728657879Z 2025-11-08 09:16:30,728 INFO app.services.state: System will restore full capacity and resume normal operations
orchestrator  | 2025-11-08T08:16:30.728742886Z 2025-11-08 09:16:30,728 INFO app.services.gluetun: Emergency mode deactivated - restoring full capacity
orchestrator  | 2025-11-08T08:16:35.729962131Z 2025-11-08 09:16:35,729 INFO app.services.gluetun: Waiting for VPN 'gluetun' to establish port forwarding...
orchestrator  | 2025-11-08T08:16:42.853232500Z 2025-11-08 09:16:42,853 INFO app.services.gluetun: Retrieved VPN forwarded port (sync) for 'gluetun': 34817
orchestrator  | 2025-11-08T08:16:43.731750345Z 2025-11-08 09:16:43,731 INFO app.services.gluetun: VPN 'gluetun' forwarded port 34817 is now available
orchestrator  | 2025-11-08T08:16:43.731770033Z 2025-11-08 09:16:43,731 INFO app.services.gluetun: VPN 'gluetun' recovered - provisioning 5 engines to restore capacity (5/10)
orchestrator  | 2025-11-08T08:16:43.731774891Z 2025-11-08 09:16:43,731 INFO app.services.gluetun: Provisioning recovery engine 1/5
orchestrator  | 2025-11-08T08:16:43.731850692Z 2025-11-08 09:16:43,731 INFO app.services.provisioner: Assigning new engine to VPN 'gluetun' (VPN1: 0 engines, VPN2: 5 engines)
orchestrator  | 2025-11-08T08:16:43.731954509Z 2025-11-08 09:16:43,731 INFO app.services.provisioner: Provisioning new forwarded engine for VPN 'gluetun' with P2P port 34817
orchestrator  | 2025-11-08T08:16:43.963220258Z 2025-11-08 09:16:43,962 INFO app.services.state: Engine 768f8cd05605 is now the forwarded engine for VPN 'gluetun'
orchestrator  | 2025-11-08T08:16:43.963247830Z 2025-11-08 09:16:43,963 INFO app.services.provisioner: Engine 768f8cd05605 provisioned as forwarded engine
orchestrator  | 2025-11-08T08:16:43.963456691Z 2025-11-08 09:16:43,963 INFO app.services.gluetun: Successfully provisioned recovery engine 768f8cd05605
orchestrator  | 2025-11-08T08:16:43.963520493Z 2025-11-08 09:16:43,963 INFO app.services.gluetun: Provisioning recovery engine 2/5
